,bathrooms,square_feet,price
871,1.0,484.0,60.0
873,1.0,0.0,65.0
874,1.0,807.0,70.0
881,1.0,0.0,29.0
883,1.0,0.0,30.0
884,1.0,936.0,85.0
887,1.0,0.0,43.0
895,1.0,0.0,95.0
898,1.1244292237442923,0.0,35.0
900,1.0,700.0,110.0
904,1.0,0.0,39.0
906,1.0,0.0,82.0
908,1.0,0.0,70.0
912,1.0,1195.0,95.0
917,1.0,280.0,32.0
923,1.0,280.0,46.0
927,1.0,0.0,35.0
929,1.0,0.0,48.0
932,1.5,0.0,150.0
934,1.0,0.0,59.0
936,1.0,0.0,36.0
938,1.0,194.0,36.0
943,1.5,810.0,58.0
944,1.0,915.0,48.0
946,1.0,0.0,55.0
949,1.0,301.0,64.0
950,1.0,484.0,68.0
951,1.0,484.0,68.0
957,1.0,646.0,95.0
958,1.0,0.0,40.0
962,1.0,1184.0,100.0
970,2.0,1206.0,80.0
990,1.0,215.0,58.0
992,1.0,936.0,120.0
1000,1.0,344.0,28.0
1008,1.0,0.0,99.0
1012,1.5,1184.0,120.0
1014,1.0,753.0,78.0
1017,1.0,452.0,28.0
1022,1.0,452.0,47.0
1023,1.0,1076.0,65.0
1024,1.0,484.0,50.0
1028,1.0,0.0,45.0
1029,1.0,0.0,50.0
1031,1.0,1399.0,119.0
1032,1.5,16.0,45.0
1041,1.0,0.0,30.0
1045,1.0,775.0,140.0
1052,1.0,161.0,35.0
1057,1.0,0.0,60.0
1058,1.5,969.0,89.0
1060,1.0,495.0,75.0
1062,2.0,215.0,28.0
1064,1.0,0.0,30.0
1067,1.5,861.0,125.0
1070,2.0,969.0,110.0
1074,1.1244292237442923,0.0,77.0
1076,1.0,861.0,130.0
1079,1.0,0.0,58.0
1081,1.5,1130.0,140.0
1086,2.0,1830.0,200.0
1087,1.0,0.0,68.0
1090,1.0,646.0,45.0
1092,1.0,420.0,29.0
1101,1.0,0.0,50.0
1102,1.0,269.0,45.0
1113,1.0,1539.0,65.0
1116,1.0,431.0,76.0
1117,2.0,0.0,117.0
1118,1.0,55.0,60.0
1120,1.0,646.0,73.0
1124,1.0,323.0,27.0
1128,1.0,377.0,52.0
1129,1.0,0.0,99.0
1131,1.0,0.0,62.0
1144,2.0,1507.0,158.0
1145,1.0,463.0,27.0
1152,1.0,538.0,25.0
1154,1.0,0.0,63.0
1157,1.0,775.0,90.0
